"filename", "language", "JavaScript", "JSON", "Groovy", "Objective-C", "Batch", "Properties", "XML", "Java", "C++", "comment", "blank", "total"
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\components\detailInfo.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 67
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\components\detailTab.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 84
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\components\filterModals.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 161
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\components\genresComponent.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 42
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\components\header.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\components\icons\VoteIcon.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\components\icons\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\components\index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\components\listComponent.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 59
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\components\nativeAds.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 78
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\components\recommendation.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\components\searchComponent.js", "JavaScript", 383, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 487
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\components\wheelePicker.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\navigation\bottomTabNav.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\navigation\stackNavigation.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\screens\detailScreen.js", "JavaScript", 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 281
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\screens\discover.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 150
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\screens\favorite.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 151
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\screens\home.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 68
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\screens\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\screens\searchScreen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\services\requests.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 98
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\styles\bottomTabStyle.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\styles\colors.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\styles\headerStyles.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\styles\homeStyles.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\styles\index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\styles\measures.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\utilities\genresData.js", "JavaScript", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 151
"c:\Users\ercoz\react-native-projects\MovieApp\TheMovieApp\src\utilities\saveFavorite.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22
"Total", "-", 1987, 11962, 141, 106, 76, 9, 85, 131, 5, 183, 581, 15266
